imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote
tt0020629,8.0,56356,7.9,8.0
tt0020640,7.5,13341,7.6,8.0
tt0020641,6.6,2760,6.9,7.0
tt0020661,5.1,106,5.6,5.0
tt0020668,6.4,828,6.6,7.0
tt0020670,5.8,161,6.0,6.0
tt0020673,5.4,175,5.5,5.0
tt0020679,6.2,280,6.5,6.0
tt0020686,7.1,1849,7.2,7.0
tt0020690,5.9,209,5.9,6.0
tt0020691,7.2,3312,7.3,7.0
tt0020693,6.0,347,6.3,6.0
tt0020695,6.1,600,6.2,6.0
tt0020697,7.7,13311,7.7,8.0
tt0020702,5.4,322,5.5,5.0
tt0020713,5.6,242,6.3,6.0
tt0020724,5.6,117,6.4,6.0
tt0020740,4.7,122,4.7,5.0
tt0020754,6.2,112,6.4,6.0
tt0020758,5.7,339,5.9,6.0
tt0020763,5.7,117,6.2,6.0
tt0020768,7.8,2842,7.7,8.0
tt0020785,5.4,104,5.7,6.0
tt0020799,6.1,210,6.4,6.0
tt0020806,6.2,465,6.5,6.0
tt0020815,7.2,1602,7.7,8.0
tt0020821,6.5,523,6.7,7.0
tt0020823,6.0,146,6.2,6.0
tt0020827,6.8,2705,6.9,7.0
tt0020828,5.3,325,5.5,5.0
tt0020836,6.5,947,6.6,7.0
tt0020838,5.8,392,6.0,6.0
tt0020852,5.3,341,5.6,6.0
tt0020866,5.9,101,5.9,6.0
tt0020869,5.2,151,5.4,5.0
tt0020873,6.2,131,6.5,6.0
tt0020875,6.9,439,6.8,7.0
tt0020876,6.7,947,6.9,7.0
tt0020890,6.5,159,6.6,7.0
tt0020891,6.1,1249,8.0,9.0
tt0020894,6.5,200,7.2,7.0
tt0020896,6.5,327,6.5,7.0
tt0020900,6.1,191,6.2,6.0
tt0020902,5.6,814,5.7,6.0
tt0020919,5.3,805,7.5,8.0
tt0020924,6.0,157,6.1,6.0
tt0020926,4.4,122,5.2,5.0
tt0020929,5.5,323,7.5,8.0
tt0020938,5.4,347,5.4,6.0
tt0020945,6.1,303,6.4,6.0
tt0020949,5.5,121,7.0,7.0
tt0020959,5.5,146,5.6,6.0
tt0020960,7.4,4748,7.7,8.0
tt0020966,6.5,229,6.6,7.0
tt0020985,6.4,352,6.6,7.0
tt0020987,6.1,299,6.3,6.0
tt0021001,5.4,113,5.5,6.0
tt0021013,6.7,229,7.0,7.0
tt0021016,5.4,630,5.7,6.0
tt0021025,6.7,1039,7.3,7.0
tt0021040,6.7,1038,6.8,7.0
tt0021042,6.0,151,6.1,6.0
tt0021044,6.6,145,6.6,7.0
tt0021048,5.3,129,5.5,5.0
tt0021053,6.5,279,6.7,7.0
tt0021060,6.4,416,6.7,7.0
tt0021061,5.5,114,6.6,6.0
tt0021069,5.6,128,5.7,6.0
tt0021070,4.6,132,7.3,8.0
tt0021074,6.8,399,6.7,7.0
tt0021079,7.3,11746,7.3,7.0
tt0021087,6.1,371,6.2,6.0
tt0021090,5.3,124,5.6,6.0
tt0021092,5.6,227,5.7,6.0
tt0021094,5.3,142,5.4,6.0
tt0021100,5.5,162,5.7,6.0
